Date_str,song_parody,transcript,transcript source,video_link,vid length (min),views_as_of_Feb-21-18,video_title
"Feb 12, 2018",y,none,none,https://www.youtube.com/watch?v=nGP0cuilgWE,4:20,"117,981","""STAND BY YOUR MAN (Donald Trump)"
"Jan 29, 2018",y,none,none,https://www.youtube.com/watch?v=_4q8x5fR4Sw,4:28,"218,187","""ALL ABOUT HIS BASE"""
"Jan 8, 2018",y,buttons.txt,youtube,https://www.youtube.com/watch?v=kDB5b5aYef4,3:13,"173,509","""Buttons!"" "
"Dec 11, 2017",y,sheWasSixteen.txt,youtube,https://www.youtube.com/watch?v=Y3WhDE-O6lc,4:59,"214,218","""She Was SIXTEEN GOING ON SEVENTEEN"""
"November 14, 2017",n,thoseWereTheGoodOldDays.txt,youtube,https://www.youtube.com/watch?v=2oW1CN8sbw0,4:40,"210,471","""THOSE WERE THE GOOD OLD DAYS"""
"Oct 31, 2017",y,none,none,https://www.youtube.com/watch?v=U8vD8ZP-eMI,3:14,"219,045","""SWEET INDICTMENT"""
"Oct 11, 2017",y,none,none,https://www.youtube.com/watch?v=LTosB6V_V24,4:30,"1,148,607","""DESPERATE CHEETO"""
"Sep 25, 2017",y,howDoYouSolveAProblemLikeKorea.txt,youtube,https://www.youtube.com/watch?v=580dYcYCneA,4:37,"566,442","""How Do You Solve A Problem Like Korea?"""
"Sep 6, 2017",y,dacaShame.txt,youtube,https://www.youtube.com/watch?v=q1CqNLgM5JU,3:55,"224,179","""DACA Shame"""
"Aug 21, 2017",y,yesWeHaveNoSteveBannon.txt,youtube,https://www.youtube.com/watch?v=If4eQHYKSu8,4:01,"236,837","""YES! WE HAVE NO STEVE BANNON!"""
"Jul 31, 2017",y,theSychophantItaliano.txt,youtube,https://www.youtube.com/watch?v=UO3ZIBONcr4,4:14,"186,353","""THE SYCOPHANT ITALIANO"""
"Jul 21, 2017",y,theRoomWhereItHappened.txt,youtube,https://www.youtube.com/watch?v=5h56N_uwS7c,4:51,"290,755","""THE ROOM WHERE IT HAPPENED"""
"Jul 5, 2017",y,beforeHeTweets,youtube,https://www.youtube.com/watch?v=0kiVjtH7w8w,3:45,"462,848","""BEFORE HE TWEETS"""
"Jun 16, 2017",y,russiaTies.txt,youtube,https://www.youtube.com/watch?v=EYgi5MyMqCs,4:15,"273,719","""RUSSIA TIES"""
"Jun 2, 2017",y,none,none,https://www.youtube.com/watch?v=1UW2ZndKqcg,4:19,"556,248","""COVFEFE: THE BROADWAY MEDLEY!"""
"May 30, 2017",y,none,none,https://www.youtube.com/watch?v=XQmFeX_Srhs,3:46,"155,765","""Donald Trump's MANGO TOUR!"""
"May 15, 2017",y,none,none,https://www.youtube.com/watch?v=V2OuJYaz_oE,4:23,"215,341","""THE RUSSIAN CONNECTION"""
"May 1, 2017",y,unpopular.txt,youtube,https://www.youtube.com/watch?v=TPg0BWvhMkA,4:33,"403,774","""UNPOPULAR!"""
"Apr 21, 2017",y,justMyBill.txt,youtube,https://www.youtube.com/watch?v=_H48C_xf8HE,3:11,"130,112","""JUST MY BILL (O'Reilly)"""
"Apr 6, 2017",n,randyRainbowInterviewsIvankaTrump.txt,youtube,https://www.youtube.com/watch?v=LPQYAT3wH_g,3:18,"233,385","""Randy Rainbow Interviews Ivanka Trump"""
"Mar 19, 2017",y,killTheRelease.txt,youtube,https://www.youtube.com/watch?v=ji5nOTjlVuA,2:30,"105,325","""KILL THE RELEASE!"""
"Mar 15, 2017",y,microwaves.txt,youtube,https://www.youtube.com/watch?v=Ub5GkBtIjhc,3:40,"292,029","""MICROWAVES (Are Watching You!)"""
"Mar 6, 2017",y,putinAndTheRitz.txt,youtube,https://www.youtube.com/watch?v=dReOdQmt-Qk,3:14,"306,990","""PUTIN AND THE RITZ"""
"Feb 22, 2017",y,yourMakingThingsUpAgain.txt,youtube,https://www.youtube.com/watch?v=yf0CKA0zN0g,3:52,"362,611","""You're Making Things Up Again, Donald!"""
"Feb 6, 2017",y,factChecker.txt,youtube,https://www.youtube.com/watch?v=NLaYDmJYE8k,3:39,"444,511","""FACT-CHECKER, FACT-CHECKER"""
"Jan 24, 2017",y,alternativeFacts.txt,youtube,https://www.youtube.com/watch?v=OdV_8TGswRA,3:35,"625,004","""ALTERNATIVE FACTS"""
"Jan 17, 2017",y,randyRainbowInterviewsJenniferHolliday.txt,youtube,https://www.youtube.com/watch?v=IMBwyVGUFls,2:58,"77,562","""Randy Rainbow Interviews Jennifer Holliday"""
"Jan 11, 2017",y,tweetsTweetsNothingButTweets.txt,youtube,https://www.youtube.com/watch?v=qEVtRrcg3dg,3:11,"261,830","""TWEETS, TWEETS & NOTHING BUT TWEETS"""
"Jan 9, 2017",n,exitInterviewsBarackObama.txt,youtube,https://www.youtube.com/watch?v=NEel6Ng2e-0,4:02,"252,465","""Randy Rainbow Exit-Interviews Barack Obama"""
"Dec 14, 2016",n,interviewsDonaldTrumpPart3.txt,youtube,https://www.youtube.com/watch?v=5e3FuzTPFT0,4:10,"167,871","""Randy Rainbow Interviews Donald Trump: PART THREE"""
"Nov 22, 2016",y,donaldTrumpGrowUp.txt,youtube,https://www.youtube.com/watch?v=5Gxp6gzKvXk,4:18,"256,726","""Donald Trump, Grow Up! - Randy Rainbow HAMILTON Song Parody"""
"Nov 16, 2016",n,interviewsNewFirstFamily.txt,youtube,https://www.youtube.com/watch?v=o5harjyjggI,3:59,"216,402","""Randy Rainbow Interviews the New First Family!"""
"Nov 10, 2016",y,none,none,https://www.youtube.com/watch?v=uc87elr2Ohs,2:55,"81,149","""HILLARY WINS!?!? - RANDY RAINBOW'S AMERICAN DREAM (Musical)"""
"Nov 6, 2016",y,none,none,https://www.youtube.com/watch?v=G19s4OmvFw8,2:51,"101,597","""TRUMP-PENCE, TRUMP-PENCE"""
"Oct 24, 2016",y,nastyWoman.txt,youtube,https://www.youtube.com/watch?v=WC7u_IKEWwA,3:38,"266,289","""THE NASTY WOMAN"""
"Oct 18, 2016",n,interviewsMelaniaTrump.txt,youtube,https://www.youtube.com/watch?v=oYagr8TdBl0,3:45,"790,214","""RANDY RAINBOW Interviews MELANIA TRUMP!"""
"Oct 10, 2016",y,grabEmBy.txt,youtube,https://www.youtube.com/watch?v=1jp-PK1TihE,2:14,"223,763","""GRAB 'EM BY THE P***Y! (Censored)"""
"Oct 6, 2016",n,randyRainbowModerates2016VPdebate.txt,youtube,https://www.youtube.com/watch?v=xGA5O49T_qE,4:03,"92,462","""RANDY RAINBOW Moderates the 2016 VP DEBATE"""
"Sep 28, 2016",y,braggadocious.txt,youtube,https://www.youtube.com/watch?v=ldfF6chin5s,2:57,"942,104","""BRAGGADOCIOUS!: Randy Rainbow Moderates Debate #1"""
"Sep 20, 2016",n,interviewsTrumpCampaign.txt,youtube,https://www.youtube.com/watch?v=fkIDDl1u53g,2:53,"244,357","""RANDY RAINBOW Interviews Trump Campaign Manager KELLYANNE CONWAY"""
"Sep 9, 2016",n,interviewsGaryJohnson.txt,youtube,https://www.youtube.com/watch?v=iYSQH8SFHDY,2:18,"87,090","""Randy Rainbow Interviews Gary Johnson #WhatIsAleppo"""
"Sep 3, 2016",n,interviewsLatinosForTump.txt,youtube,https://www.youtube.com/watch?v=8CtrLnBxeNY,2:36,"102,880","""RANDY RAINBOW Interviews LATINOS FOR TRUMP"""
"Aug 19, 2016",n,interviewsTrumpsAttorney.txt,youtube,https://www.youtube.com/watch?v=JjTqyNe0C1w,2:43,"95,775","""Randy Rainbow Interviews Donald Trump's Attorney #SaysWho"""
"Aug 2, 2016",n,interviewsDonaldTrumpPart2.txt,youtube,https://www.youtube.com/watch?v=q81Howk0Dto,2:37,"150,134","""Randy Rainbow Interviews DONALD TRUMP: Part II"""
"Jul 28, 2016",n,interviewsHillaryClintonTimKaine.txt,youtube,https://www.youtube.com/watch?v=u1XjA0X2uRU,3:11,"84,009","""Randy Rainbow Interviews HILLARY CLINTON & TIM KAINE"""
"Jul 21, 2016",y,yaGotTrumpTrouble.txt,youtube,https://www.youtube.com/watch?v=5_k1L7IHYx0,3:44,"15,358","""Ya Got Trump Trouble!"""
"Jun 7, 2016",y,sorryYoureNotHamilton.txt,youtube,https://www.youtube.com/watch?v=S10DtYaIg0g,3:27,"157,648","""SORRY, YOU'RE NOT HAMILTON"""
"May 19, 2016",n,randyRainbowInterviewsDonaldTrump.txt,youtube,https://www.youtube.com/watch?v=8Dw3DXBeKIM,2:32,"168,754","""Randy Rainbow Interviews Donald Trump"""
"May 5, 2016",y,tedCruzGOPdropout.txt,youtube,https://www.youtube.com/watch?v=vdB9nTe4ldE,3:34,"72,433","""TED CRUZ GOP DROPOUT"""
"May 5, 2016",y,johnKasichGOPdropout.txt,youtube,https://www.youtube.com/watch?v=0-XDpLkLNRk,3:18,"29,328","""JOHN KASICH GOP DROPOUT"""
"Apr 29, 2016",y,carlyFiorinaDuet.txt,youtube,https://www.youtube.com/watch?v=rsWEd-phvyw,2:43,"48,458","""RANDY RAINBOW & CARLY FIORINA DUET: Just in Love (with TED CRUZ)"""
"Apr 24, 2016",n,randyRainbowInterviewsBarbaraStreisand.txt,youtube,https://www.youtube.com/watch?v=vRvsNj1tGQs,3:47,"87,408","""Randy Rainbow Interviews Barbra Streisand"""
"Mar 16, 2016",y,marcoRubioGOPdropout.txt,youtube,https://www.youtube.com/watch?v=KmGuIssaeEg,3:21,"65,687","""Marco Rubio: GOP DROPOUT"""
"Mar 4, 2016",y,benCarsonGOPdropout.txt,youtube,https://www.youtube.com/watch?v=KMQgdOLylXo,3:16,"42,516","""Ben Carson: GOP DROPOUT"""
"Feb 22, 2016",y,jobBushGOPdropout.txt,youtube,https://www.youtube.com/watch?v=7BntyhRqBAA,3:17,"52,242","""Jeb Bush GOP DROPOUT"""
"Feb 12, 2016",y,carlyFiorinaGOPdropout.txt,youtube,https://www.youtube.com/watch?v=jmssam01R2M,3:12,"82,983","""Carly Fiorina GOP DROPOUT"""
"Jan 18, 2016",y,none,none,https://www.youtube.com/watch?v=jDxSg1fSrws,2:19,"153,051","""Randy Rainbow Performs at a Donald Trump Rally"""
"Dec 24, 2015",n,merryJewishChristmas.txt,youtube,https://www.youtube.com/watch?v=TK4PRgXXm9U,1:31,"12,546","""Merry Jewish Christmas"""
"Oct 21, 2015",n,trickOrTreatsKimDavis.txt,youtube,https://www.youtube.com/watch?v=BgwRl_T1aP8,3:54,"43,427","""Randy Rainbow Trick-or-Treats Kim Davis"""
"Sep 7, 2015",y,kimDavisCellBlockTango.txt,youtube,https://www.youtube.com/watch?v=14C3TZg6NQM,3:31,"480,516","""The KIM DAVIS Cell Block Tango - Randy Rainbow"""
"Jun 1, 2015",n,randyShiaGetReadyForBed.txt,youtube,https://www.youtube.com/watch?v=jD-JqOXCrEo,1:03,"22,162","""Randy Rainbow And Shia LaBeouf Get Ready For Bed"""
"Apr 23, 2015",n,interviewsRobertDowneyJr.txt,youtube,https://www.youtube.com/watch?v=Rq0XX8AcDH0,2:49,"31,783","""Randy Rainbow Interviews Robert Downey Jr."""
"Mar 29, 2015",y,aSongForIndiana.txt,youtube,https://www.youtube.com/watch?v=cUA9m-g12ag,2:13,"162,647","""A Song for Indiana - Randy Rainbow"""
"Dec 23, 2014",n,none,none,https://www.youtube.com/watch?v=5bkjyHwSJYk,2:41,"23,478","""Merry Christmas from Randy Rainbow & Bill Cosby!"""
"May 20, 2014",n,donaldSterlingTalksToRandyRainbow.txt,youtube,https://www.youtube.com/watch?v=NcMWEgmI84M,3:00,"9,607","""Donald Sterling Talks to Randy Rainbow"""
"Mar 6, 2014",y,adeleDazeem.txt,youtube,https://www.youtube.com/watch?v=6SgGxP5TqSE,3:26,"88,361","""ADELE DAZEEM"""
"Dec 25, 2013",n,aJewForChristmas.txt,youtube,https://www.youtube.com/watch?v=wsZyELYDzO0,3:18,"57,449","""Randy Rainbow: A Jew for Christmas"""
"Aug 30, 2013",n,behindTheTiara.txt,youtube,https://www.youtube.com/watch?v=sYTzq70TsFo,5:50,"8,358","""Behind the Tiara - Randy Rainbow and Ivy Profen"""
"Aug 1, 2013",n,anthonyWeinerDatingRandy.txt,youtube,https://www.youtube.com/watch?v=3BBiN98XVvE,4:02,"53,966","""Anthony Weiner is Dating Randy Rainbow"""
"Jan 26, 2013",n,newRandyRainbowShow.txt,youtube,https://www.youtube.com/watch?v=J_JkjjdgaWA,1:28,"4,129","""NEW RANDY RAINBOW SHOW!"""
"Dec 17, 2012",y,susanBoyleAwkwardDiva.txt,youtube,https://www.youtube.com/watch?v=XcjBQrb202o,1:35,"9,376","""Susan Boyle the Awkward Diva | Randy Rainbow"""
"Aug 1, 2012",n,randyRainbowWorksAtChickFilA.txt,youtube,https://www.youtube.com/watch?v=jiZLFjbqDxQ,3:40,"390,863","""Randy Rainbow Works at Chick-fil-A"""
"Jul 15, 2012",n,highSchoolMusical.txt,youtube,https://www.youtube.com/watch?v=JO571wGDucE,5:22,"38,712","""High School Musical Starring Randy Rainbow"""
"Jul 5, 2012",n,tomCruiseAndersonCooperSpeedDate.txt,youtube,https://www.youtube.com/watch?v=G-R7qRPiHtE,5:27,"48,482","""Tom Cruise and Anderson Cooper Speed Date"""
"May 13, 2012",n,johnTravoltaHarassesRandy.txt,youtube,https://www.youtube.com/watch?v=jdMuwTRofR0,4:18,"34,341","""John Travolta Harasses Randy Rainbow"""
"Mar 11, 2012",n,kirkCameronDatingRandy.txt,youtube,https://www.youtube.com/watch?v=_la4rrc_53c,4:53,"54,415","""Kirk Cameron is Dating Randy Rainbow"""
"Feb 13, 2012",n,mittRomneyKissMe.txt,youtube,https://www.youtube.com/watch?v=Or2jsyGBxrg,4:30,"16,531","""Mitt Romney, Kiss Me!"""
"Dec 25, 2011",y,rickPerryRandyRainbowXmas.txt,youtube,https://www.youtube.com/watch?v=1DUYZQHeqjI,5:09,"29,177","""Rick Perry and Randy Rainbow: The XMas Album"""
"Nov 13, 2011",n,rickPerryGetsDrunkPhoneCall.txt,youtube,https://www.youtube.com/watch?v=ZQqDWuXT51w,4:43,"18,545","""Rick Perry Gets a Drunk Phone Call from Randy Rainbow"""
"Oct 30, 2011",n,beaArthurRandyHalloween.txt,youtube,https://www.youtube.com/watch?v=8kzBfEw44M4,4:08,"15,446","""Bea Arthur and Randy Rainbow's Halloween Special"""
"Oct 17, 2011",n,theFundraiser.txt,youtube,https://www.youtube.com/watch?v=YmHu2JRtRug,5:26,"7,529","""The Fundraiser"""
"Jul 24, 2011",n,marcusBachmannNotGettingMarried.txt,youtube,https://www.youtube.com/watch?v=mNlTI-P6yTY,5:12,"16,213","""Marcus Bachmann Is Not Getting Married to Randy Rainbow"""
"May 1, 2011",n,royalWedding.txt,youtube,https://www.youtube.com/watch?v=XlJWmrK7Bu8,4:52,"41,692","""Royal Wedding: The Morning After"""
"Apr 6, 2011",y,americanIdolWelcomesBack.txt,youtube,https://www.youtube.com/watch?v=uUI3OGHfk9g,5:05,"25,168","""American Idol Welcomes Back Randy Rainbow"""
"Feb 27, 2011",n,charlieSheenRandysNewBoyfriend.txt,youtube,https://www.youtube.com/watch?v=iHBqXGLsQI0,4:42,"15,990","""Charlie Sheen Is Randy Rainbow's New Boyfriend"""
"Feb 13, 2011",n,melGibsonRandySeekCounseling.txt,youtube,https://www.youtube.com/watch?v=N__uN_l4Gsc,5:40,"47,380","""Mel Gibson and Randy Rainbow Seek Counseling"""
"Jan 25, 2011",n,americanIdolAudition.txt,youtube,https://www.youtube.com/watch?v=QHoh82ZwDjw,5:05,"192,063","""American Idol Audition"""
"Jan 9, 2011",n,spiderManCastSaved.txt,youtube,https://www.youtube.com/watch?v=VChJ4SnyfdQ,5:13,"9,190","""Spider-Man Cast Saved by Randy Rainbow"""
"Dec 13, 2010",n,melGibsonSpendsChristmas.txt,youtube,https://www.youtube.com/watch?v=JLfxq7t2KX4,4:39,"11,765","""Mel Gibson Spends Christmas with Randy Rainbow"""
"Nov 18, 2010",n,kanyeWestKicksIt.txt,youtube,https://www.youtube.com/watch?v=icVRIlkn0hk,3:29,"8,732","""Kanye West Kicks It With Randy Rainbow"""
"Oct 25, 2010",n,randyRainbowStars.txt,youtube,https://www.youtube.com/watch?v=YNOzRXKzEfk,4:34,"9,725","""Randy Rainbow Stars In a Show!"""
"Oct 3, 2010",n,rachelZoeHiresRandy.txt,youtube,https://www.youtube.com/watch?v=h3qu6KgoORo,4:55,"11,141","""Rachel Zoe Hires Randy Rainbow!"""
"Sep 13, 2010",n,randyRainbowGettingMarried.txt,youtube,https://www.youtube.com/watch?v=3jkRjULDoFk,5:57,"30,634","""Randy Rainbow Getting Married?"""
"Aug 30, 2010",n,lindsayLohanGetsCallFromRandy.txt,youtube,https://www.youtube.com/watch?v=b3bP3t4u8rg,4:18,"45,668","""Lindsay Lohan Gets a Call from Randy Rainbow"""
"Aug 19, 2010",n,drLauraGetsCallFromRandy.txt,youtube,https://www.youtube.com/watch?v=h7TQRPqK6ig,3:04,"23,143","""Dr. Laura Gets a Call from Randy Rainbow"""
"Aug 1, 2010",n,chelseaClintonWedding.txt,youtube,https://www.youtube.com/watch?v=m1ifaaeii3k,3:23,"46,083","""Chelsea Clinton's Wedding: The Morning After"""
"May 27, 2010",n,none,none,https://www.youtube.com/watch?v=EW3CCkdhTic,1:24,"4,092","""American Idol Reaction"""
"May 23, 2010",n,oprahAudition.txt,youtube,https://www.youtube.com/watch?v=oJEVnkNY6Sk,5:41,"17,327","""The Oprah Audition"""
"May 2, 2010",n,previouslyOn.txt,youtube,https://www.youtube.com/watch?v=iOapmFuX6uc,3:01,"4,047","""Previously On"""
"Jan 3, 2010",n,visionBoard.txt,youtube,https://www.youtube.com/watch?v=vu_5dOXzmN8,7:05,"9,673","""Randy Rainbow's Vision Board"""
"Nov 22, 2009",n,chadKimballInterview.txt,youtube,https://www.youtube.com/watch?v=sCBzx1Nc2Rc,9:59,"5,987","""Chad Kimball of the Broadway Show Memphis Interviewed"""
"May 4, 2009",n,mirandaVoiceLessons.txt,youtube,https://www.youtube.com/watch?v=GWko3MBcGHg,7:14,"24,240","""Miranda Gives Voice Lessons to Randy Rainbow"""